Released_Year,Certificate,Runtime,IMDB_Rating,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes
1993,R,180 min,8,47,Taylor Hackford,Damian Chapa,Jesse Borrego,Benjamin Bratt,Enrique Castillo,28825
1992,UA,156 min,8,59,Martin Brest,Al Pacino,Chris O'Donnell,James Rebhorn,Gabrielle Anwar,263918
1992,U,90 min,8,86,Ron Clements,John Musker,Scott Weinger,Robin Williams,Linda Larkin,373845
1991,UA,189 min,8,72,Oliver Stone,Kevin Costner,Gary Oldman,Jack Lemmon,Walter Matthau,142110
1991,G,84 min,8,95,Gary Trousdale,Kirk Wise,Paige O'Hara,Robby Benson,Jesse Corti,417178
1990,U,181 min,8,72,Kevin Costner,Kevin Costner,Mary McDonnell,Graham Greene,Rodney A. Grant,240266
1989,R,120 min,8,93,Spike Lee,Danny Aiello,Ossie Davis,Ruby Dee,Richard Edson,89429
1988,U,133 min,8,65,Barry Levinson,Dustin Hoffman,Tom Cruise,Valeria Golino,Gerald R. Molen,473064
1988,UA,124 min,8,,Katsuhiro Ôtomo,Mitsuo Iwata,Nozomu Sasaki,Mami Koyama,Tesshô Genda,164918
1987,U,98 min,8,77,Rob Reiner,Cary Elwes,Mandy Patinkin,Robin Wright,Chris Sarandon,393899
1987,U,128 min,8,79,Wim Wenders,Bruno Ganz,Solveig Dommartin,Otto Sander,Curt Bois,64722
1987,U,104 min,8,88,Louis Malle,Gaspard Manesse,Raphael Fejtö,Francine Racette,Stanislas Carré de Malberg,31163
1986,U,125 min,8,78,Hayao Miyazaki,Mayumi Tanaka,Keiko Yokozawa,Kotoe Hatsui,Minori Terada,150140
1984,UA,107 min,8,84,James Cameron,Arnold Schwarzenegger,Linda Hamilton,Michael Biehn,Paul Winfield,799795
1982,U,191 min,8,79,Richard Attenborough,Ben Kingsley,John Gielgud,Rohini Hattangadi,Roshan Seth,217664
1980,U,180 min,8,84,Akira Kurosawa,Tatsuya Nakadai,Tsutomu Yamazaki,Ken'ichi Hagiwara,Jinpachi Nezu,32195
1979,PG,130 min,8,83,Hal Ashby,Peter Sellers,Shirley MacLaine,Melvyn Douglas,Jack Warden,65625
1977,A,93 min,8,92,Woody Allen,Woody Allen,Diane Keaton,Tony Roberts,Carol Kane,251823
1975,A,124 min,8,87,Steven Spielberg,Roy Scheider,Robert Shaw,Richard Dreyfuss,Lorraine Gary,543388
1975,U,125 min,8,86,Sidney Lumet,Al Pacino,John Cazale,Penelope Allen,Sully Boyar,235652
1974,A,106 min,8,80,Mel Brooks,Gene Wilder,Madeline Kahn,Marty Feldman,Peter Boyle,143359
1973,R,151 min,8,58,Franklin J. Schaffner,Steve McQueen,Dustin Hoffman,Victor Jory,Don Gordon,121627
1973,A,122 min,8,81,William Friedkin,Ellen Burstyn,Max von Sydow,Linda Blair,Lee J. Cobb,362393
1972,PG,138 min,8,,Joseph L. Mankiewicz,Laurence Olivier,Michael Caine,Alec Cawthorne,John Matthews,44748
1971,R,118 min,8,93,Peter Bogdanovich,Timothy Bottoms,Jeff Bridges,Cybill Shepherd,Ben Johnson,42456
1971,G,181 min,8,67,Norman Jewison,Topol,Norma Crane,Leonard Frey,Molly Picon,39491
1970,UA,113 min,8,100,Bernardo Bertolucci,Jean-Louis Trintignant,Stefania Sandrelli,Gastone Moschin,Enzo Tarascio,27067
1969,PG,110 min,8,66,George Roy Hill,Paul Newman,Robert Redford,Katharine Ross,Strother Martin,201888
1968,A,137 min,8,96,Roman Polanski,Mia Farrow,John Cassavetes,Ruth Gordon,Sidney Blackmer,193674
1968,U,112 min,8,79,Franklin J. Schaffner,Charlton Heston,Roddy McDowall,Kim Hunter,Maurice Evans,165167
1967,A,106 min,8,83,Mike Nichols,Dustin Hoffman,Anne Bancroft,Katharine Ross,William Daniels,253676
1966,A,131 min,8,75,Mike Nichols,Elizabeth Taylor,Richard Burton,George Segal,Sandy Dennis,68926
1965,U,172 min,8,63,Robert Wise,Julie Andrews,Christopher Plummer,Eleanor Parker,Richard Haydn,205425
1965,A,197 min,8,69,David Lean,Omar Sharif,Julie Christie,Geraldine Chaplin,Rod Steiger,69903
1964,A,99 min,8,65,Sergio Leone,Clint Eastwood,Gian Maria Volontè,Marianne Koch,Wolfgang Lukschy,198219
1963,,138 min,8,91,Federico Fellini,Marcello Mastroianni,Anouk Aimée,Claudia Cardinale,Sandra Milo,108844
1962,,80 min,8,,Jean-Luc Godard,Anna Karina,Sady Rebbot,André S. Labarthe,Guylaine Schlumberger,28057
1961,A,134 min,8,90,Robert Rossen,Paul Newman,Jackie Gleason,Piper Laurie,George C. Scott,75067
1960,A,174 min,8,95,Federico Fellini,Marcello Mastroianni,Anita Ekberg,Anouk Aimée,Yvonne Furneaux,66621
1959,Passed,141 min,8,93,Howard Hawks,John Wayne,Dean Martin,Ricky Nelson,Angie Dickinson,56305
1959,,161 min,8,95,Otto Preminger,James Stewart,Lee Remick,Ben Gazzara,Arthur O'Connell,59847
1958,PG-13,95 min,8,99,Orson Welles,Charlton Heston,Orson Welles,Janet Leigh,Joseph Calleia,98431
1958,A,108 min,8,84,Richard Brooks,Elizabeth Taylor,Paul Newman,Burl Ives,Jack Carson,45062
1957,Approved,96 min,8,100,Alexander Mackendrick,Burt Lancaster,Tony Curtis,Susan Harrison,Martin Milner,28137
1956,Approved,84 min,8,91,Stanley Kubrick,Sterling Hayden,Coleen Gray,Vince Edwards,Jay C. Flippen,81702
1955,,92 min,8,99,Charles Laughton,Robert Mitchum,Shelley Winters,Lillian Gish,James Gleason,81980
1954,,108 min,8,,Federico Fellini,Anthony Quinn,Giulietta Masina,Richard Basehart,Aldo Silvani,58314
1955,,117 min,8,,Henri-Georges Clouzot,Simone Signoret,Véra Clouzot,Paul Meurisse,Charles Vanel,61503
1953,,120 min,8,84,Billy Wilder,William Holden,Don Taylor,Otto Preminger,Robert Strauss,51046
1953,,118 min,8,78,William Wyler,Gregory Peck,Audrey Hepburn,Eddie Albert,Hartley Power,127256
1951,A,122 min,8,97,Elia Kazan,Vivien Leigh,Marlon Brando,Kim Hunter,Karl Malden,99182
1950,,94 min,8,,Nicholas Ray,Humphrey Bogart,Gloria Grahame,Frank Lovejoy,Carl Benton Reid,26784
1949,U,106 min,8,,Robert Hamer,Dennis Price,Alec Guinness,Valerie Hobson,Joan Greenwood,34485
1948,A,80 min,8,73,Alfred Hitchcock,James Stewart,John Dall,Farley Granger,Dick Hogan,129783
1947,,97 min,8,,Jacques Tourneur,Robert Mitchum,Jane Greer,Kirk Douglas,Rhonda Fleming,32784
1945,U,86 min,8,92,David Lean,Celia Johnson,Trevor Howard,Stanley Holloway,Joyce Carey,35601
1944,Passed,88 min,8,,Otto Preminger,Gene Tierney,Dana Andrews,Clifton Webb,Vincent Price,42725
1946,Approved,170 min,8,93,William Wyler,Myrna Loy,Dana Andrews,Fredric March,Teresa Wright,57259
1942,,118 min,8,,Frank Capra,Cary Grant,Priscilla Lane,Raymond Massey,Jack Carson,65101
1941,,100 min,8,96,John Huston,Humphrey Bogart,Mary Astor,Gladys George,Peter Lorre,148928
1940,Passed,129 min,8,96,John Ford,Henry Fonda,Jane Darwell,John Carradine,Charley Grapewin,85559
1939,U,102 min,8,92,Victor Fleming,George Cukor,Mervyn LeRoy,Norman Taurog,Richard Thorpe,371379
1939,,110 min,8,,Jean Renoir,Marcel Dalio,Nora Gregor,Paulette Dubost,Mila Parély,26725
1934,TV-PG,91 min,8,86,W.S. Van Dyke,William Powell,Myrna Loy,Maureen O'Sullivan,Nat Pendleton,26642
1930,U,152 min,8,91,Lewis Milestone,Lew Ayres,Louis Wolheim,John Wray,Arnold Lucy,57318
1925,,75 min,8,97,Sergei M. Eisenstein,Aleksandr Antonov,Vladimir Barskiy,Grigoriy Aleksandrov,Ivan Bobrov,53054
2019,UA,130 min,7.9,82,Rian Johnson,Daniel Craig,Chris Evans,Ana de Armas,Jamie Lee Curtis,454203
2020,UA,101 min,7.9,,Mukesh Chhabra,Sushant Singh Rajput,Sanjana Sanghi,Sahil Vaid,Saswata Chatterjee,111478
2018,A,121 min,7.9,93,Hirokazu Koreeda,Lily Franky,Sakura Andô,Kirin Kiki,Mayu Matsuoka,62754
2019,U,137 min,7.9,94,Noah Baumbach,Adam Driver,Scarlett Johansson,Julia Greer,Azhy Robertson,246644
2017,UA,132 min,7.9,93,Luca Guadagnino,Armie Hammer,Timothée Chalamet,Michael Stuhlbarg,Amira Casar,212651
2016,UA,100 min,7.9,78,Ken Loach,Laura Obiols,Dave Johns,Hayley Squires,Sharon Percy,53818
2018,U,101 min,7.9,82,Wes Anderson,Bryan Cranston,Koyu Rankin,Edward Norton,Bob Balaban,139114
2016,UA,101 min,7.9,81,Taika Waititi,Sam Neill,Julian Dennison,Rima Te Wiata,Rachel House,111483
2016,R,118 min,7.9,72,Matt Ross,Viggo Mortensen,George MacKay,Samantha Isler,Annalise Basso,189400
2016,PG-13,106 min,7.9,79,John Carney,Ferdia Walsh-Peelo,Aidan Gillen,Maria Doyle Kennedy,Jack Reynor,85109
2017,UA,130 min,7.9,74,Taika Waititi,Chris Hemsworth,Tom Hiddleston,Cate Blanchett,Mark Ruffalo,587775
2014,A,117 min,7.9,76,Dan Gilroy,Jake Gyllenhaal,Rene Russo,Bill Paxton,Riz Ahmed,466134
2019,UA,108 min,7.9,58,Taika Waititi,Roman Griffin Davis,Thomasin McKenzie,Scarlett Johansson,Taika Waititi,297918
2016,UA,116 min,7.9,81,Denis Villeneuve,Amy Adams,Jeremy Renner,Forest Whitaker,Michael Stuhlbarg,594181
2015,U,138 min,7.9,80,J.J. Abrams,Daisy Ridley,John Boyega,Oscar Isaac,Domhnall Gleeson,860823
2013,R,109 min,7.9,94,Richard Linklater,Ethan Hawke,Julie Delpy,Seamus Davey-Fitzpatrick,Ariane Labed,141457
2014,UA,132 min,7.9,75,Bryan Singer,Patrick Stewart,Ian McKellen,Hugh Jackman,James McAvoy,659763
2011,,157 min,7.9,82,Nuri Bilge Ceylan,Muhammet Uzuner,Yilmaz Erdogan,Taner Birsel,Ahmet Mümtaz Taylan,41995
2011,U,100 min,7.9,89,Michel Hazanavicius,Jean Dujardin,Bérénice Bejo,John Goodman,James Cromwell,230624
2014,UA,113 min,7.9,71,Doug Liman,Tom Cruise,Emily Blunt,Bill Paxton,Brendan Gleeson,600004
2012,UA,127 min,7.9,94,Michael Haneke,Jean-Louis Trintignant,Emmanuelle Riva,Isabelle Huppert,Alexandre Tharaud,93090
2019,R,209 min,7.9,94,Martin Scorsese,Robert De Niro,Al Pacino,Joe Pesci,Harvey Keitel,324720
2009,A,155 min,7.9,90,Jacques Audiard,Tahar Rahim,Niels Arestrup,Adel Bencherif,Reda Kateb,93560
2009,R,97 min,7.9,67,Duncan Jones,Sam Rockwell,Kevin Spacey,Dominique McElligott,Rosie Shaw,335152
2008,R,114 min,7.9,82,Tomas Alfredson,Kåre Hedebrant,Lina Leandersson,Per Ragnar,Henrik Dahl,205609
2009,A,112 min,7.9,81,Neill Blomkamp,Sharlto Copley,David James,Jason Cope,Nathalie Boltt,638202
2008,UA,109 min,7.9,80,Darren Aronofsky,Mickey Rourke,Marisa Tomei,Evan Rachel Wood,Mark Margolis,289415
2007,U,138 min,7.9,,Imtiaz Ali,Shahid Kapoor,Kareena Kapoor,Tarun Arora,Dara Singh,47720
2014,A,165 min,7.9,100,Richard Linklater,Ellar Coltrane,Patricia Arquette,Ethan Hawke,Elijah Smith,335533
2007,,113 min,7.9,97,Cristian Mungiu,Anamaria Marinca,Laura Vasiliu,Vlad Ivanov,Alexandru Potocean,56625
2009,UA,127 min,7.9,82,J.J. Abrams,Chris Pine,Zachary Quinto,Simon Pegg,Leonard Nimoy,577336
2008,R,107 min,7.9,67,Martin McDonagh,Colin Farrell,Brendan Gleeson,Ciarán Hinds,Elizabeth Berrington,390334
2007,,87 min,7.9,,Richard Schenkman,David Lee Smith,Tony Todd,John Billingsley,Ellen Crawford,174125
2006,UA,141 min,7.9,89,Clint Eastwood,Ken Watanabe,Kazunari Ninomiya,Tsuyoshi Ihara,Ryô Kase,154011
2006,R,117 min,7.9,64,Tarsem Singh,Lee Pace,Catinca Untaru,Justine Waddell,Kim Uylenbroek,107290
2012,U,127 min,7.9,79,Ang Lee,Suraj Sharma,Irrfan Khan,Adil Hussain,Tabu,580708
2009,PG,87 min,7.9,83,Wes Anderson,George Clooney,Meryl Streep,Bill Murray,Jason Schwartzman,199696
2005,,129 min,7.9,81,Jean-Marc Vallée,Michel Côté,Marc-André Grondin,Danielle Proulx,Émile Vallée,31476
2004,PG-13,97 min,7.9,56,Christophe Barratier,Gérard Jugnot,François Berléand,Jean-Baptiste Maunier,Kad Merad,57430
2008,UA,126 min,7.9,79,Jon Favreau,Robert Downey Jr.,Gwyneth Paltrow,Terrence Howard,Jeff Bridges,939644
2004,UA,99 min,7.9,76,Edgar Wright,Simon Pegg,Nick Frost,Kate Ashfield,Lucy Davis,512249
2004,R,121 min,7.9,78,Fatih Akin,Birol Ünel,Sibel Kekilli,Güven Kiraç,Zarah Jane McKenzie,51325
2003,A,138 min,7.9,84,Clint Eastwood,Sean Penn,Tim Robbins,Kevin Bacon,Emmy Rossum,419420
2004,U,142 min,7.9,82,Alfonso Cuarón,Daniel Radcliffe,Emma Watson,Rupert Grint,Richard Griffiths,552493
2002,PG-13,120 min,7.9,85,Yimou Zhang,Jet Li,Tony Chiu-Wai Leung,Maggie Cheung,Ziyi Zhang,173999
2002,R,112 min,7.9,86,Pedro Almodóvar,Rosario Flores,Javier Cámara,Darío Grandinetti,Leonor Watling,104691
2001,R,98 min,7.9,84,Danis Tanovic,Branko Djuric,Rene Bitorajac,Filip Sovagovic,Georges Siatidis,44618
2001,U,115 min,7.9,61,Shin'ichirô Watanabe,Tensai Okamura,Hiroyuki Okiura,Yoshiyuki Takei,Beau Billingslea,42897
2002,UA,119 min,7.9,68,Doug Liman,Franka Potente,Matt Damon,Chris Cooper,Clive Owen,508771
2000,R,114 min,7.9,80,Fabián Bielinsky,Ricardo Darín,Gastón Pauls,Graciela Tenenbaum,María Mercedes Villagra,49721
2006,A,109 min,7.9,84,Alfonso Cuarón,Julianne Moore,Clive Owen,Chiwetel Ejiofor,Michael Caine,465113
2000,A,122 min,7.9,90,Cameron Crowe,Billy Crudup,Patrick Fugit,Kate Hudson,Frances McDormand,252586
2001,R,147 min,7.9,85,David Lynch,Naomi Watts,Laura Harring,Justin Theroux,Jeanne Bates,322031
1999,U,92 min,7.9,88,John Lasseter,Ash Brannon,Lee Unkrich,Tom Hanks,Tim Allen,527512
1997,R,155 min,7.9,85,Paul Thomas Anderson,Mark Wahlberg,Julianne Moore,Burt Reynolds,Luis Guzmán,239473
1995,U,111 min,7.9,75,Yoshifumi Kondô,Yoko Honna,Issey Takahashi,Takashi Tachibana,Shigeru Muroi,51943
1994,A,102 min,7.9,77,Lee Tamahori,Rena Owen,Temuera Morrison,Mamaengaroa Kerr-Bell,Julian Arahanga,31590
1993,R,119 min,7.9,59,Tony Scott,Christian Slater,Patricia Arquette,Dennis Hopper,Val Kilmer,206918
1993,U,94 min,7.9,85,Krzysztof Kieslowski,Juliette Binoche,Zbigniew Zamachowski,Julie Delpy,Benoît Régent,89836
1993,A,94 min,7.9,,Yoshiaki Kawajiri,Kôichi Yamadera,Emi Shinohara,Takeshi Aono,Osamu Saka,34529
1993,A,144 min,7.9,65,Brian De Palma,Al Pacino,Sean Penn,Penelope Ann Miller,John Leguizamo,201000
1990,U,105 min,7.9,74,Tim Burton,Johnny Depp,Winona Ryder,Dianne Wiest,Anthony Michael Hall,447368
1989,U,103 min,7.9,97,Jim Sheridan,Daniel Day-Lewis,Brenda Fricker,Alison Whelan,Kirsten Sheridan,68076
1989,PG-13,104 min,7.9,77,Woody Allen,Martin Landau,Woody Allen,Bill Bernstein,Claire Bloom,54670
1987,A,119 min,7.9,79,Brian De Palma,Kevin Costner,Sean Connery,Robert De Niro,Charles Martin Smith,281842
1986,PG-13,107 min,7.9,90,Woody Allen,Mia Farrow,Dianne Wiest,Michael Caine,Barbara Hershey,67176
1985,U,132 min,7.9,84,Terry Gilliam,Jonathan Pryce,Kim Greist,Robert De Niro,Katherine Helmond,187567
1984,R,82 min,7.9,92,Rob Reiner,Rob Reiner,Michael McKean,Christopher Guest,Kimberly Stringer,128812
1983,U,93 min,7.9,77,Bob Clark,Peter Billingsley,Melinda Dillon,Darren McGavin,Scott Schwartz,132947
1980,U,133 min,7.9,60,John Landis,John Belushi,Dan Aykroyd,Cab Calloway,John Candy,183182
1979,R,96 min,7.9,83,Woody Allen,Woody Allen,Diane Keaton,Mariel Hemingway,Michael Murphy,131436
1979,A,123 min,7.9,72,Bob Fosse,Roy Scheider,Jessica Lange,Ann Reinking,Leland Palmer,28223
1978,A,127 min,7.9,71,George A. Romero,David Emge,Ken Foree,Scott H. Reiniger,Gaylen Ross,111512
1976,U,138 min,7.9,84,Alan J. Pakula,Dustin Hoffman,Robert Redford,Jack Warden,Martin Balsam,103031
1973,R,114 min,7.9,76,Alejandro Jodorowsky,Alejandro Jodorowsky,Horacio Salinas,Zamira Saunders,Juan Ferrara,37183
1973,R,123 min,7.9,,Federico Fellini,Magali Noël,Bruno Zanin,Pupella Maggio,Armando Brancia,39897
1972,PG,102 min,7.9,93,Luis Buñuel,Fernando Rey,Delphine Seyrig,Paul Frankeur,Bulle Ogier,38737
1972,,95 min,7.9,,Werner Herzog,Klaus Kinski,Ruy Guerra,Helena Rojo,Del Negro,52397
1971,PG,91 min,7.9,62,Hal Ashby,Ruth Gordon,Bud Cort,Vivian Pickles,Cyril Cusack,70826
1970,U,172 min,7.9,91,Franklin J. Schaffner,George C. Scott,Karl Malden,Stephen Young,Michael Strong,93741
1969,A,145 min,7.9,97,Sam Peckinpah,William Holden,Ernest Borgnine,Robert Ryan,Edmond O'Brien,77401
1968,,96 min,7.9,89,George A. Romero,Duane Jones,Judith O'Dea,Karl Hardman,Marilyn Eastman,116557
1968,PG,134 min,7.9,,Anthony Harvey,Peter O'Toole,Katharine Hepburn,Anthony Hopkins,John Castle,29003
1967,U,110 min,7.9,75,Norman Jewison,Sidney Poitier,Rod Steiger,Warren Oates,Lee Grant,67804
1963,U,113 min,7.9,83,Stanley Donen,Cary Grant,Audrey Hepburn,Walter Matthau,James Coburn,68689
1962,PG-13,126 min,7.9,94,John Frankenheimer,Frank Sinatra,Laurence Harvey,Janet Leigh,Angela Lansbury,71122
1960,A,197 min,7.9,87,Stanley Kubrick,Kirk Douglas,Laurence Olivier,Jean Simmons,Charles Laughton,124339
1960,U,144 min,7.9,,Michelangelo Antonioni,Gabriele Ferzetti,Monica Vitti,Lea Massari,Dominique Blanchar,26542
1959,,90 min,7.9,,Alain Resnais,Emmanuelle Riva,Eiji Okada,Stella Dassas,Pierre Barbaud,28421
1956,U,220 min,7.9,,Cecil B. DeMille,Charlton Heston,Yul Brynner,Anne Baxter,Edward G. Robinson,63560
1956,Passed,119 min,7.9,94,John Ford,John Wayne,Jeffrey Hunter,Vera Miles,Ward Bond,80316
1955,U,118 min,7.9,72,Elia Kazan,James Dean,Raymond Massey,Julie Harris,Burl Ives,40313
1952,PG,85 min,7.9,89,Fred Zinnemann,Gary Cooper,Grace Kelly,Thomas Mitchell,Lloyd Bridges,97222
1951,A,101 min,7.9,88,Alfred Hitchcock,Farley Granger,Robert Walker,Ruth Roman,Leo G. Carroll,123341
1950,Approved,104 min,7.9,,Henry Koster,James Stewart,Wallace Ford,William H. Lynn,Victoria Horne,52573
1947,,96 min,7.9,88,George Seaton,Edmund Gwenn,Maureen O'Hara,John Payne,Gene Lockhart,41625
1946,U,102 min,7.9,100,Alfred Hitchcock,Cary Grant,Ingrid Bergman,Claude Rains,Louis Calhern,92306
1946,Passed,114 min,7.9,,Howard Hawks,Humphrey Bogart,Lauren Bacall,John Ridgely,Martha Vickers,78796
1945,Passed,101 min,7.9,,Billy Wilder,Ray Milland,Jane Wyman,Phillip Terry,Howard Da Silva,33549
1940,,112 min,7.9,96,George Cukor,Cary Grant,Katharine Hepburn,James Stewart,Ruth Hussey,63550
1940,Passed,92 min,7.9,,Howard Hawks,Cary Grant,Rosalind Russell,Ralph Bellamy,Gene Lockhart,53667
1938,PG,102 min,7.9,97,Michael Curtiz,William Keighley,Errol Flynn,Olivia de Havilland,Basil Rathbone,47175
1935,Passed,96 min,7.9,,Sam Wood,Edmund Goulding,Groucho Marx,Chico Marx,Harpo Marx,30580
1933,Passed,100 min,7.9,90,Merian C. Cooper,Ernest B. Schoedsack,Fay Wray,Robert Armstrong,Bruce Cabot,78991
1932,,64 min,7.9,80,Tod Browning,Wallace Ford,Leila Hyams,Olga Baclanova,Roscoe Ates,42117
1922,,94 min,7.9,,F.W. Murnau,Max Schreck,Alexander Granach,Gustav von Wangenheim,Greta Schröder,88794
2019,A,113 min,7.8,51,Guy Ritchie,Matthew McConaughey,Charlie Hunnam,Michelle Dockery,Jeremy Strong,237392
2018,UA,138 min,7.8,,Meghna Gulzar,Alia Bhatt,Vicky Kaushal,Rajit Kapoor,Shishir Sharma,25344
2019,R,120 min,7.8,81,Darius Marder,Riz Ahmed,Olivia Cooke,Paul Raci,Lauren Ridloff,27187
2016,UA,124 min,7.8,85,Asghar Farhadi,Shahab Hosseini,Taraneh Alidoosti,Babak Karimi,Mina Sadati,51240
2017,UA,106 min,7.8,94,Christopher Nolan,Fionn Whitehead,Barry Keoghan,Mark Rylance,Tom Hardy,555092
2016,,96 min,7.8,,Paolo Genovese,Giuseppe Battiston,Anna Foglietta,Marco Giallini,Edoardo Leo,57168
2016,UA,127 min,7.8,74,Theodore Melfi,Taraji P. Henson,Octavia Spencer,Janelle Monáe,Kevin Costner,200876
2017,U,103 min,7.8,88,Paul King,Ben Whishaw,Hugh Grant,Hugh Bonneville,Sally Hawkins,61594
2016,A,148 min,7.8,,Abhishek Chaubey,Shahid Kapoor,Alia Bhatt,Kareena Kapoor,Diljit Dosanjh,27175
2016,PG,101 min,7.8,84,Travis Knight,Charlize Theron,Art Parkinson,Matthew McConaughey,Ralph Fiennes,118035
2016,U,184 min,7.8,,Neeraj Pandey,Sushant Singh Rajput,Kiara Advani,Anupam Kher,Disha Patani,40416
2016,UA,137 min,7.8,96,Kenneth Lonergan,Casey Affleck,Michelle Williams,Kyle Chandler,Lucas Hedges,246963
2015,R,100 min,7.8,75,Martin Zandvliet,Roland Møller,Louis Hofmann,Joel Basman,Mikkel Boe Følsgaard,35539
2016,UA,133 min,7.8,65,Gareth Edwards,Felicity Jones,Diego Luna,Alan Tudyk,Donnie Yen,556608
2016,UA,147 min,7.8,75,Anthony Russo,Joe Russo,Chris Evans,Robert Downey Jr.,Scarlett Johansson,663649
2015,A,168 min,7.8,68,Quentin Tarantino,Samuel L. Jackson,Kurt Russell,Jennifer Jason Leigh,Walton Goggins,517059
2019,U,135 min,7.8,91,Greta Gerwig,Saoirse Ronan,Emma Watson,Florence Pugh,Eliza Scanlen,143250
2017,UA,94 min,7.8,62,Dorota Kobiela,Hugh Welchman,Douglas Booth,Jerome Flynn,Robert Gulaczyk,50778
2014,R,119 min,7.8,79,Matthew Warchus,Bill Nighy,Imelda Staunton,Dominic West,Paddy Considine,51841
2013,PG-13,130 min,7.8,85,Asghar Farhadi,Bérénice Bejo,Tahar Rahim,Ali Mosaffa,Pauline Burlet,45002
2013,,141 min,7.8,86,Paolo Sorrentino,Toni Servillo,Carlo Verdone,Sabrina Ferilli,Carlo Buccirosso,81125
2013,U,104 min,7.8,76,Ritesh Batra,Irrfan Khan,Nimrat Kaur,Nawazuddin Siddiqui,Lillete Dubey,50523
2012,UA,126 min,7.8,,Shoojit Sircar,Ayushmann Khurrana,Yami Gautam,Annu Kapoor,Dolly Ahluwalia,39710
2014,U,102 min,7.8,74,Don Hall,Chris Williams,Ryan Potter,Scott Adsit,Jamie Chung,410983
2013,R,123 min,7.8,55,Richard Curtis,Domhnall Gleeson,Rachel McAdams,Bill Nighy,Lydia Wilson,303032
2012,U,134 min,7.8,,Gauri Shinde,Sridevi,Adil Hussain,Mehdi Nebbou,Priya Anand,33618
2013,PG-13,126 min,7.8,83,Hayao Miyazaki,Hideaki Anno,Hidetoshi Nishijima,Miori Takimoto,Masahiko Nishimura,73690
2019,U,100 min,7.8,84,Josh Cooley,Tom Hanks,Tim Allen,Annie Potts,Tony Hale,203177
2013,R,131 min,7.8,49,Giuseppe Tornatore,Geoffrey Rush,Jim Sturgess,Sylvia Hoeks,Donald Sutherland,108399
